,שם התחנה החדש,X,Y,O3,PM2.5,PM10,NOx,SO2,TEMP
0,גליל מערבי,227851.0,757888.0,1,0,1,1,1,1
1,טורעאן החדשה,235918.0,742625.0,0,1,1,0,0,0
2,כפר מסריק החדשה,209409.0,754981.0,1,1,0,1,0,0
4,מצפה נטופה,236175.0,745331.0,0,1,1,0,0,0
6,דחי,233572.0,725030.0,1,0,0,1,1,0
8,עפולה,227646.0,723263.0,1,0,1,1,1,1
9,איבטין,210786.0,740518.0,0,1,0,0,0,1
10,דליית אל כרמל,206830.0,731868.0,0,0,0,1,1,0
11,חיפה- אחוזה,198960.0,743485.0,0,1,1,0,1,1
15,חיפה- מרכז הכרמל,199500.0,745180.0,1,0,0,0,1,0
16,חיפה- נווה שאנן,202299.0,743652.0,1,1,1,1,1,1
18,חיפה- צ'ק פוסט,204107.0,743851.0,1,1,1,1,1,1
19,חיפה- קרית חיים - מערבית,205607.0,748275.0,0,1,1,0,1,0
20,חיפה- קרית שפרינצק,197099.0,747599.0,1,0,0,1,0,0
21,כפר חסידים,209214.0,738717.0,1,0,0,0,1,0
22,נשר,204282.0,741742.0,1,1,1,1,1,1
23,פארק הכרמל,203616.0,738048.0,1,1,0,1,1,1
24,קרית אתא- מרכז העיר,210895.0,746351.0,1,1,1,1,1,1
25,קרית אתא- קרית בנימין,208347.0,743721.0,0,1,1,1,1,0
26,קרית ביאליק- דרום,207620.0,746629.0,0,1,1,0,0,0
27,קרית טבעון,212489.0,736404.0,1,1,1,1,1,1
28,קרית ים,207759.0,750827.0,1,1,0,0,0,1
30,אום אל-פאחם- כביש 65,214293.0,715614.0,0,1,1,1,0,1
31,אום אל קוטוף,205655.0,708843.0,0,0,1,0,0,1
32,אליכין,192543.0,701643.0,0,0,0,1,1,1
33,אליקים ,206466.0,726475.0,0,0,0,1,1,1
34,ברטעה החדשה,207682.0,709117.0,0,0,1,0,0,1
35,ברקאי החדשה,203280.0,709245.0,1,1,1,1,1,1
37,גן שמואל,196548.0,705218.0,0,0,0,1,1,1
38,המעפיל,197867.0,697362.0,1,0,0,1,1,0
39,חדרה- אזור התעשיה,192151.0,705981.0,0,0,0,1,1,0
40,חדרה- בית אליעזר,194517.0,704416.0,0,0,0,1,1,1
42,חדרה- תחנת הכוח אורות רבין,190493.0,708155.0,0,0,1,0,0,0
43,כפר סבא,194181.0,676031.0,1,1,0,1,1,1
44,"כרם מהר""ל",199239.0,728347.0,1,0,0,1,0,1
45,מ.א. חוף הכרמל- טורבינת הגז קיסריה,194094.0,711703.0,0,0,1,0,0,1
46,מ.א. חוף הכרמל- כפר הנוער שפיה,197752.0,721578.0,0,1,1,0,0,0
47,מ.א. מנשה- אתר החדרה נחלי מנשה,193062.0,708606.0,0,0,0,1,1,1
48,מגל,203756.0,699000.0,0,0,0,1,1,1
49,מעיין צבי - איגוד,194643.0,719203.0,1,0,0,1,1,0
51,נחשולים,192844.0,724446.0,1,1,0,1,1,0
52,עמיקם,202628.0,719017.0,0,0,0,1,1,1
53,פרדס חנה,196756.0,708054.0,0,1,0,1,1,1
54,קיסריה- מוזיאון ראלי,191532.0,713354.0,1,1,0,1,1,1
55,קציר,209305.0,710328.0,1,0,1,1,1,1
59,חולון,178304.0,658414.0,0,1,0,1,0,1
60,פתח תקוה- רחוב גיסין,187998.0,667437.0,0,1,0,1,0,1
65,תל אביב יפו- אוניברסיטה,181757.0,669624.0,1,0,1,1,1,1
67,תל אביב יפו- לב תל אביב,179119.0,663292.0,1,0,0,1,1,0
75,אור יהודה,186180.0,659172.0,1,1,0,1,0,1
76,אחיסמך,191488.0,649147.0,1,0,0,1,1,0
77,אלעד,195952.0,662273.0,0,0,1,0,0,0
78,אלעד- רובע א',196656.0,662504.0,0,1,0,1,0,1
79,בית חשמונאי,192086.0,644097.0,1,0,1,1,1,1
80,בית שמש,199493.0,628675.0,1,0,1,1,1,1
81,בני עטרות,191813.0,659096.0,1,1,0,1,0,1
83,כרמי יוסף,192481.0,639338.0,1,0,0,1,1,0
84,מודיעין,199666.0,644460.0,1,0,1,1,1,0
85,רחובות,182742.0,645238.0,1,0,1,1,1,1
86,ירושלים- אזור תעשיה עטרות,220480.0,640045.0,0,0,1,1,0,1
87,ירושלים- בקעה,220759.0,629389.0,0,1,1,1,0,1
93,גוש עציון,211292.0,618258.0,1,1,1,1,0,1
94, אשקלון- גן הוורדים,159301.0,618812.0,1,1,0,1,1,1
95, אשקלון- שמשון,157520.0,618160.0,1,1,0,1,1,1
97,ארז,158755.0,607681.0,1,1,0,1,1,1
98,אשדוד- אזור תעשיה קלה,168821.0,636347.0,1,1,0,1,1,1
100,"אשדוד- רובע ט""ו החדשה",164865.0,631309.0,1,1,0,1,1,0
104,בת הדר,161860.0,617402.0,1,0,1,1,1,1
105,גברעם,163086.0,610958.0,1,1,0,1,1,1
106,גדרה,179159.0,635773.0,1,1,0,1,1,1
108,גן יבנה,172238.0,632356.0,0,1,0,1,1,0
109,זיקים,154535.0,613517.0,0,0,0,0,0,0
110,יבנה,175370.0,642557.0,1,0,1,0,1,1
111,יד בנימין,182928.0,634015.0,1,1,0,1,1,1
112,כפר מנחם,184291.0,626333.0,1,0,0,1,1,0
113,כפר מנחם- שכונת ההרחבה,184087.0,626166.0,1,1,0,1,1,1
114,כרמיה,156674.0,612655.0,1,0,0,1,1,1
115,לוזית,188931.0,621437.0,1,0,0,1,1,0
116,מ.א. חבל יבנה קבוצת יבנה מערב,173213.0,636466.0,0,0,0,1,1,0
117,מבקיעים,159987.0,614579.0,1,1,0,1,1,1
118,ניר גלים 1,169792.0,637026.0,1,0,1,1,1,0
120,ניר ישראל,165638.0,621686.0,0,1,0,1,1,1
121,קרית גת,177403.0,612771.0,1,1,0,1,1,1
122,קרית מלאכי,175500.0,626280.0,1,1,0,1,1,1
123,שדה יואב,169218.0,617176.0,0,1,0,1,1,1
124,שדרות,162252.0,604164.0,1,1,0,1,1,1
125,תימורים,176910.0,624896.0,1,1,0,1,1,0
126,נאות הכיכר ,237015.0,539434.0,0,1,0,1,1,1
127,סדום- לוט,237888.0,553120.0,0,0,1,1,1,1
128,סדום- נחל אשלים,233674.0,547159.0,0,1,0,1,1,1
129,אשלים,171330.0,541589.0,0,0,1,0,0,0
130,באר שבע- נחל בקע,178766.0,570313.0,0,0,0,1,1,0
131,באר שבע- מחנה נתן,181430.0,569863.0,1,0,0,1,1,0
132,באר שבע- שכונה ו',179221.0,574022.0,1,1,1,1,0,1
133,ירוחם,193051.0,544467.0,0,0,0,0,1,0
134,מ.ת. נאות חובב- גבעת שמן,183662.0,561619.0,1,0,0,1,1,0
135,מ.ת. נאות חובב- גבעת תצפית,176977.0,560292.0,0,0,0,1,1,1
140,מ.ת. נאות חובב- פזורה,182065.0,562781.0,0,0,0,1,1,0
143,צומת הנגב- קריית ההדרכה,183576.0,551454.0,0,0,0,1,1,0
145,שגב שלום,184622.0,567533.0,0,0,0,1,1,0
146,אילת- בית ספר גולדווטר,194712.0,385218.0,1,0,0,1,1,0
150,בת שלמה,200874.0,723165.0,0,1,0,1,0,0
157,ניידת חיפה,207270.0,746044.0,1,1,1,1,0,0
158,נתניה- קריית השרון,188206.0,690875.0,1,1,0,1,1,0
